SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(Rs)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
KIN01600265,IN016,India,ARAISE FABRICS,,Knit,circular,,jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,183.3333333,2.82,meter,Stock,0,,0,,Fresh Fabric Manufacturer,No,price based on 200 kgs,95% Viscose5% Spandex,,,,,,Woven,kg,yard,nylon,circular
KIN02000256,IN020,India,SP TEX [INDIA],F703,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,180,gsm,59,inches,200,3.08,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,Other,oz/sy,cm,rayon ,
KIN02000257,IN020,India,SP TEX [INDIA],F35,knit,circular,,Jersey,viscose,95,spandex,5,,,100,180,gsm,59,inches,128.3333333,1.97,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,inches,cotton,
KIN02000258,IN020,India,SP TEX [INDIA],F221,Knit,circular,,Jersey,Viscose,60,polyester,35,spandex,5,100,170,gsm,59,inches,128.3333333,1.97,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,60%viscose35%Poly5% sapndex,,,,,,,,,,
KIN02500259,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,83.33333333,1.28,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Melange Viscose5% Spandex,,,,,,,,,,
KIN02500260,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,83.33333333,1.28,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,,,
KIN02500261,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,170,gsm,59,inches,100,1.54,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,,,
KIN02500262,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,100,1.54,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,,,
KIN02500263,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,100,1.54,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,,,,,
KIN02500264,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,160,gsm,59,inches,100,1.54,meter,Stock,0,,0,,Stock fabric 2016/1/22,No,Price based on available per Meter,95% Viscose5% Spandex,,,,,,Knit,gsm,meter,polyester,warp
KIN02500277,IN025,India,BALU FABRICS,,Knit,circular,,French Terry,polyester,50,rayon ,45,spandex,5,100,180,gsm,56,inches,300,4.84,kg,Stock,0,,0,,Stock fabric as 30/01/2016,No,,TriBlend 30 Dia Fabric Open width,,,,,,,,kg,Modal,
KIN02500278,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,polyester,50,rayon ,45,spandex,5,100,180,gsm,56,inches,300,4.84,kg,Stock,0,,0,,Stock fabric as 30/01/2016        ,No,,TriBlend 30 Dia Fabric Open width,,,,,,,,,Tencel,
KIN02500279,IN025,India,BALU FABRICS,,Knit,circular,,1X1 Rib Knit,cotton,95,spandex,5,,,100,260,gsm,18,inches,350,5.65,kg,Stock,0,,0,,Stock fabric as 30/01/2016,No,,,,,,,,,,,bamboo,
KIN02500280,IN025,India,BALU FABRICS,,Knit,circular,,Fleece,cotton,100,,,,,100,320,gsm,56,inches,350,5.65,kg,Stock,0,,0,,Stock fabric as 30/01/2016,No,,TriBlend 30 Dia Fabric Open width,,,,,,,,,linen,
KIN02500281,IN025,India,BALU FABRICS,,Knit,circular,,Fleece,cotton,78,polyester,22,,,100,360,gsm,56,inches,350,5.65,kg,Stock,0,,0,,Stock fabric as 30/01/2016,No,,TriBlend 30 Dia Fabric Open width,,,,,,,,,wool,
KIN02500282,IN025,India,BALU FABRICS,,Knit,circular,,Sweater Knit Fleece,cotton,60,polyester,40,,,100,330,gsm,56,inches,350,5.65,kg,Stock,0,,0,,Stock fabric as 30/01/2016,No,,"30Dia 58""open width",,,,,,,,,acetate,
KIN02500283,IN025,India,BALU FABRICS,,Knit,circular,,Sweater Knit Fleece,cotton,60,polyester,40,,,100,290,gsm,56,inches,350,5.65,kg,Stock,0,,0,,Stock fabric as 30/01/2016,No,,"30Dia 58""open width",,,,,,,,,spandex,
KIN02500284,IN025,India,BALU FABRICS,,Knit,circular,,Sweater Knit Fleece,cotton,60,polyester,40,,,100,320,gsm,56,inches,350,5.65,kg,Stock,0,,0,,Stock fabric as 30/01/2016,No,,"30Dia 58""open width",,,,,,,,,viscose,
KIN02500285,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,180,gsm,56,inches,350,5.65,kg,Stock,0,,0,,stock fabric as on 30/01/2016,No,,,,,,,,,,,,
KIN02500286,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,180,gsm,56,inches,350,5.65,kg,Stock,0,,0,,stock fabric as on 30/01/2016,No,,,,,,,,,,,,
KIN02500287,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,polyester,60,viscose,20,cotton,20,100,170,gsm,76,inches,350,5.65,kg,Stock,0,,0,,stock fabric as on 30/01/2016,No,,,,,,,,,,,,
KIN02500288,IN025,India,BALU FABRICS,,Knit,circular,,Jersey,viscose,100,,,,,100,160,gsm,"30"" Tubular",inches,350,5.65,kg,Stock,0,,0,,stock fabric as on 30/01/2016,No,,,,,,,,,,,,
KIN02500381,IN025,India,BALU FABRICS,POLY 4 WAY STRETCH,Knit,circular,,Jersey,polyester,95,spandex,5,,,100,200,gsm,,,350,5.65,kg,Mill,0,,0,,,No,,,,,,,,,,,,
KIN02500383,IN025,India,BALU FABRICS,Burn out jersey,Knit,circular,,Jersey,polyester,65,cotton,35,,,100,160,gsm,,,,0.00,kg,Mill,0,,0,,,No,,,,,,,,,,,,
KIN02500384,IN025,India,BALU FABRICS,linen slub,Knit,circular,,Jersey,linen,100,,,,,100,130,gsm,,,,0.00,kg,Mill,0,,0,,,No,,,,,,,,,,,,
KIN02500385,IN025,India,BALU FABRICS,Burn out jersey,Knit,circular,,Jersey,polyester,65,viscose,35,,,100,160,gsm,,,,0.00,kg,Mill,0,,0,,,No,,,,,,,,,,,,
KIN03500378,IN035,India,AGC ,INTERLOCK,knit,circular,,Interlock,polyester,95,spandex,5,,,100,200,gsm,,,,0.00,kg,Stock,0,,0,,Stock fabric ,No,50s compact yarn with Spandex Interlock,,,,,,,,,,,
KIN03500379,IN035,India,AGC ,,Knit,circular,,Jersey,cotton,95,spandex,5,,,100,160,gsm,,,,0.00,kg,Mill,0,,0,,Against Order ,No,,,,,,,,,,,,
KIN03500380,IN035,India,AGC ,,Knit,circular,,Jersey,polyester,100,,,,,100,140,gsm,,,,0.00,kg,Mill,0,,0,,Against Order ,No,30S POLYESTER S/J ,,,,,,,,,,,
KIN03500525,IN035,India,AGC ,Organic S/J,Knit,circular,,Jersey,cotton,100,,,,,100,160,gsm,,,,0.00,kg,Mill,0,,0,,Against Order ,No,Against Order ,,,,,,,,,,,
KIN03500526,IN035,India,AGC ,Tencel / Cotton,Knit,circular,,Jersey,Tencel,50,cotton,50,,,100,160,gsm,,,,0.00,kg,Mill,0,,0,,Against Order ,No,Against Order ,,,,,,,,,,,
KIN03500527,IN035,India,AGC ,Organic S/J,Knit,circular,,Jersey,cotton,100,,,,,100,160,gsm,,,,0.00,kg,Mill,0,,0,,Against Order ,No,Against Order ,,,,,,,,,,,
KIN03500528,IN038,India ,SAMYUKTHA GARMENTS,Heavy spandex jersey ,Knit,circular,,Jersey,cotton ,90%,spandex ,10%,,,100,330,gsm ,,,648,9.83,kg ,Mill,0,,0,,Against Order ,No,Against Order ,,,,,,,,,,,
KIN03500529,INO40,INDIA ,Fushion clothing ,FTCAPR 20/2016-2017,Knit,circular,,Jersey,Modal,70,wool,30,,,100,160,gsm,,,,,,Mill,0,,0,,MOQ -  300 GARMENTS ,No,GARMENT VENDOR - MOQ 300 PCS AGAINST ORDER ,,,,,,,,,,,
KIN03500530,INO40,INDIA ,Fushion clothing ,,Knit,circular,,Jersey,bamboo,50,cotton,50,,,100,160 -180,gsm,,,,,,Mill,0,,0,,MOQ -  300 GARMENTS ,No,GARMENT VENDOR - MOQ 300 PCS AGAINST ORDER ,,,,,,,,,,,
KIN03500531,INO40,INDIA ,Fushion clothing ,FAIR TRADE OFF WHITE ,Knit,circular,,Jersey,cotton,100,,,,,100,180,gsm,,,,,,Mill,0,,0,,MOQ -  300 GARMENTS ,No,GARMENT VENDOR - MOQ 300 PCS AGAINST ORDER ,,,,,,,,,,,
KIN03500532,INO40,INDIA ,Fushion clothing ,,Knit,circular,,Jersey,Modal,50,cotton,50,,,100,160-180,gsm,,,,,,Mill,0,,0,,MOQ -  300 GARMENTS ,No,GARMENT VENDOR - MOQ 300 PCS AGAINST ORDER ,,,,,,,,,,,
KIN03500533,INO40,INDIA ,Fushion clothing ,50%EUCALYPTUS 50% COTTON ,Knit,circular,,Jersey,cotton,50,cotton,50,,,100,160-180,gsm,,,,,,Mill,0,,0,,MOQ -  300 GARMENTS ,No,GARMENT VENDOR - MOQ 300 PCS AGAINST ORDER ,,,,,,,,,,,
KIN03500534,INO40,INDIA ,Fushion clothing ,FTCAPR 18/2016-2017,Knit,circular,,Jersey,Tencel,50,cotton,50,,,100,160,gsm,,,,,,Mill,0,,0,,MOQ -  300 GARMENTS ,No,GARMENT VENDOR - MOQ 300 PCS AGAINST ORDER ,,,,,,,,,,,
KIN03500535,INO40,INDIA ,Fushion clothing ,FTC 62/2015 - 2016,Knit,circular,,Jersey,cotton,60,polyester,40,,,100,180,gsm,,,,,,Mill,0,,0,,MOQ -  300 GARMENTS ,No,GARMENT VENDOR - MOQ 300 PCS AGAINST ORDER ,,,,,,,,,,,
KIN03500536,INO40,INDIA ,Fushion clothing ,FTC 118/2015-2016,Knit,circular,,Jersey,cotton,85,linen,15,,,100,160,gsm,,,,,,Mill,0,,0,,MOQ -  300 GARMENTS ,No,GARMENT VENDOR - MOQ 300 PCS AGAINST ORDER ,,,,,,,,,,,
KIN03500537,INO35,INDIA ,AGC ,MICRO MODAL LYCRA JERSEY ,Knit,circular,,Jersey,Modal,95,spandex,5,,,100,180,gsm,,,650,10.00,kg,Mill,0,,0,,Against Order  -  MOQ 60 KGS ,No,,,,,,,,,,,,
KIN03500538,INO41,INDIA ,GTN ENGINEERING ( INDIA ) LTD,MICRO MODAL LYCRA JERSEY ,Knit,circular,,Jersey,Modal,97,spandex,3,,,100,210,gsm,,,617,9.50,kg,Mill,0,,0,,Against Order  -  MOQ 60 KGS ,No,,,,,,,,,,,,
KIN03800453,IN038,India,SAMYUKTHA GARMENTS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,180,gsm,,,,0.00,kg,Mill,0,,0,,Against Order ,No,White/Black Yarndyed Pin stripe Viscose Spandex 95/5 ,,,,,,,,,,,
KIN03800454,IN038,India,SAMYUKTHA GARMENTS,,Knit,circular,,Jersey,cotton,60,viscose,35,spandex,5,100,180,gsm,,,,0.00,kg,Mill,0,,0,,Against Order ,No,Olive Heather 60 Cotton/35 Vicose/5% Spandex  Melange ,,,,,,,,,,,
KIN03800455,IN038,India,SAMYUKTHA GARMENTS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,180,gsm,,,,0.00,kg,Mill,0,,0,,Against Order ,No,Oatmeal Heather/ Blue Yarndyed Pin stripe Viscose Spandex 95/5 ,,,,,,,,,,,
KIN03800461,IN038,India,SAMYUKTHA GARMENTS,,Knit,circular,,Jersey,viscose,95,spandex,5,,,100,,,,,,0.00,kg,Mill,0,,0,,Against Order ,No,Super Skinny Stripe Black & White 95/5 viscose Spandex,,,,,,,,,,,
KIN03800462,IN038,India,SAMYUKTHA GARMENTS,,Knit,circular,,Jersey,cotton,50,polyester,22,viscose,28,100,,,,,,0.00,kg,Mill,0,,0,,Against Order ,No,"Triblend Cotton50% , 28% Poly & 22& Rayon",,,,,,,,,,,